1673699962.5861514,start
1673699962.6509824,baseline
1673699972.6488984,red
1673699977.6548796,fixation
1673699979.674867,red
1673699984.6780932,fixation
1673699986.6962523,white
1673699991.695564,fixation
1673699993.6986327,red
1673699998.7133682,fixation
1673700000.7351177,white
1673700005.7215924,fixation
1673700007.735239,white
1673700012.7342074,fixation
1673700014.7265794,red
1673700019.746312,fixation
1673700021.7413685,white
1673700026.7485049,fixation
1673700028.756841,red
1673700033.758534,fixation
1673700035.765659,white
1673700040.768592,fixation
1673700042.7737846,white
1673700047.771435,fixation
1673700049.7882314,red
1673700054.774079,fixation
1673700056.7770588,white
1673700061.7903984,fixation
1673700063.8104064,red
1673700068.8033187,fixation
1673700070.8112402,red
1673700075.8215759,fixation
1673700077.8375642,white
1673700082.8550816,fixation
1673700084.8587248,red
1673700089.8474274,fixation
1673700091.8521516,red
1673700096.8563986,fixation
1673700098.8492537,white
1673700103.85195,fixation
1673700105.847927,white
1673700110.8482845,fixation
1673700112.8556855,red
1673700117.8582044,fixation
1673700119.8660295,white
1673700124.8909678,fixation
1673700126.8971112,white
1673700131.9203904,fixation
1673700133.9113398,red
1673700138.9189713,fixation
1673700140.912128,red
1673700145.9177544,fixation
1673700147.9381385,white
1673700152.941963,fixation
1673700154.9634337,white
1673700159.9623353,fixation
1673700161.9715466,red
1673700166.9854875,fixation
1673700168.99524,white
1673700174.0043368,fixation
1673700176.01514,red
1673700181.0138142,fixation
1673700183.0175662,red
1673700188.01702,fixation
1673700190.0345814,white
1673700195.038973,fixation
1673700197.0455077,red
1673700202.049153,fixation
1673700204.064063,red
1673700209.0531337,fixation
1673700211.0568995,white
1673700216.0494604,fixation
1673700218.0649066,red
1673700223.0573928,fixation
1673700225.062899,white
1673700230.0497906,fixation
1673700232.0600665,red
1673700237.0675383,fixation
1673700239.0898986,white
1673700244.1036031,fixation
1673700246.09829,white
1673700251.1030047,fixation
1673700253.107392,red
1673700258.0987134,fixation
1673700260.1161404,white
1673700265.1123607,fixation
1673700267.1293242,white
1673700272.149522,fixation
1673700274.1654136,red
1673700279.1714694,fixation
1673700281.1679654,white
1673700286.1763647,fixation
1673700288.1803892,red
1673700293.1989655,fixation
1673700295.2059274,white
1673700300.2286994,fixation
1673700302.236229,red
1673700307.23648,fixation
1673700309.2687166,red
1673700314.265103,fixation
1673700316.2564416,white
1673700321.256621,fixation
